text,author
"কারওয়ান বাজার এলাকার মাদক ব্যবসা নিয়ন্ত্রণ করত। লঘু খোকনকে দলে টেনে নিয়ে সে মাদক ব্যবসার পুরো নিয়ন্ত্রণ নিজের হাতে নেয়।
সুষমা রানী ও তার স্বামী হেমন্তর হাতে ছিল মিরপুর এবং পল্লবীর হিরোইন, ফেনসিডিল ব্যবসা। আয়না মজিদ সুষমা রানীর সঙ্গে সখ্য গড়ে তোলে এবং এক রাতে হেমন্তকে গুলি করে হত্যা করে। এই হত্যাকাণ্ডটি করে সে প্রকাশ্যে এক চায়ের দোকানের সামনে। গুলি করার পর সে নির্বিকার ভঙ্গিতে বলে, আমার নাম আয়না মজিদ। কেউ আমারে ধরতে চাইলে ধরেন। কারো সাহস থাকলে আগায়া আসেন।
কেউ এগিয়ে আসে নি। সে কিছুক্ষণ অপেক্ষা করে একটি বেবিটেক্সিতে উঠে চলে যায়।
আওয়ামী লীগের আমলে সে যুবলীগের সদস্য হিসেবে আত্মপ্রকাশ করে। আওয়ামী লীগের বিভিন্ন মিটিং মিছিলে অংশগ্রহণ করে। আওয়ামী লীগের এক প্রভাবশালী মন্ত্রীর আশ্রয়ে নিজের ক্ষমতা বৃদ্ধি করে।
রাজনৈতিক পট পরিবর্তনের সঙ্গে হাওয়া ভবনের নানা কর্মকাণ্ডে হয়। পুলিশের জনৈক সাব ইন্সপেক্টরকে হত্যার অপরাধে মন্ত্রীর হস্তক্ষেপে সে ছাড়া পায় করা হয়।",Humayun Ahmed
"গুলশান এলাকার একটা ফ্যাট সে ভাড়া করে। এই ফ্ল্যাটে সে নানান পেশার গুরুত্বপূর্ণ মানুষকে নিয়ে আসত। ভুলিয়ে ভালিয়ে এদেরকে আনার কাজটা করত সুষমা রানী। অসম্ভব রূপবতী এই তরুণীর ছলাকলায় অনেকেই পা দিয়েছেন। যারা পা দিয়েছেন তারাই বাধ্য হয়েছেন এই তরুণীর সঙ্গে নগ্ন ফটোসেশন করতে। এইসব ছবি ব্যবহৃত হতো ব্ল্যাকমেইলিং-এর কাজে। ব্ল্যাকমেইলিং ছাড়াও এইসব ছবি রাজনৈতিক স্বার্থেও ব্যবহৃত হতো। বাংলাদেশের বিখ্যাত কিছু মানুষের সঙ্গে সুষমা রানীর পর্ণোছবি আছে। গোপন খবরের ভিত্তিতে অভিযান চালিয়ে পুলিশ এক রাতে অসংখ্য
স্টিল ছবি এবং কিছু ভিডিও ছবিসহ সুষমা রানীকে গুলশানের ফ্ল্যাট থেকে
গ্রেফতার করে। তার বিরুদ্ধে পুলিশ চার্জশিট দেয়, কিন্তু বিচিত্র কারণে
কোর্ট সুষমা রানীকে জামিন দিয়ে দেয়। জামিনের পর থেকেই সুষমা
পলাতক।",Humayun Ahmed
"আমাকে শোভা ডাকতে পারে না। আমাকে ডাকে– শো শো শো...। আমি আরো রাগাবার জন্যে বলি— কো কো কো
শোভা আপু আবার হাসতে শুরু করেছেন। এবারে হাসির পাওয়ার আগের বারের চেয়েও বেশি। মনে হচ্ছে চেয়ার থেকে পড়ে একটা দুর্ঘটনাই ঘটাবেন। আমি বললাম, আমার খাওয়া শেষ পর্যায়ে। তুমি দুলাভাইকে টেলিফোনে ধরে দাও। তার সঙ্গে কথা বলে তাকে রাগিয়ে দিয়ে আমি বিদায় হব।
এখন চলে যাবি কেন? পান এনে দিচ্ছি। পান খেয়ে ঘুম দে। তোর দুলাভাইয়ের সঙ্গে কথা বলে তারপর যাবি।
শোভা আপু, দুলাভাইয়ের সঙ্গে আরেক দিন দেখা করব। তবে তোমার সঙ্গে সবসময়ই টেলিফোনে যোগাযোগ থাকবে।
শোভা আপুর গলা শুনে চিনতে চিঠিটা  বুধবার, চিঠি দিবস। আমি আয়না মজিদ। বলেছিলাম না দুপুরে বোয়াল মাছের এক খেতে চাই। আপনার বাসায় এসে খেয়েছি— ",Humayun Ahmed
"রান্না ভালো হয় নি। শোভা আপুর রান্নার হাত জঘন্য। বোয়াল মাছের আঁশটে গন্ধ একেবারেই যায় নি।
আমার হাতে টেলিফোন। ওপাশে কবীর সাহেব। আমি বললাম, কে দুলাভাই? গুটগুট মুটমুট টেংটেং?
কবীর সাহেব হতভম্ব গলায় বললেন, Who are you?
কে?
কবীর সাহেব আবার বললেন, Who are you? বললাম না, আয়না মজিদ।
ঘটাং করে শব্দ হলো। তিনি টেলিফোন রেখে দিয়েছেন। তার ভবিষ্যৎ কর্মকাণ্ড চোখের সামনে স্পষ্ট দেখছি। তিনি চাচ্ছেন উড়াল দিয়ে নিজের বাড়িতে চলে আসতে। সেটা সম্ভব না হওয়ায় লাফ দিয়ে জিপে উঠেছেন। ড্রাইভারকে বলছেন, তাড়াতাড়ি চালাও, তাড়াতাড়ি। বারবার ঘড়ি দেখছেন। ঘাম হচ্ছে। ঘামে শার্ট ভিজে উঠেছে। তাঁর হার্টের সমস্যা থাকলে টেনশনে ছোটখাটো স্ট্রোকের মতো হয়ে যাবার কথা।
আমি পান মুখে দিয়ে শোভা আপুর কাছ থেকে বিদায় নিলাম। বিদায়ের আগে বললাম, আপু, তুমি এতক্ষণেও আমার নামটা মনে করতে পারলে না। দুঃখ নিয়ে বিদায় নিচ্ছি।",Humayun Ahmed
"অবশ্যই । দুপুরে তুমি খাবে। ছোট্ট একটা কাজ করতে পারবে? টক দৈ আনতে পারবে? তোমার ভাইয়ের অভ্যাস দুপুরে খাবার পর টক দৈ খাওয়া। আমার ধারণা ছিল ঘরে টক দৈ আছে। ফ্রিজ খুলে দেখি আছে ঠিকই, তবে ছাতা পড়ে গেছে।
আমি টক দৈ নিয়ে সাইক্লোন ‘সিডরে'র গতিতে চলে আসছি। আপু ঠিকানাটা বলুন।
ঠিকানা জানো না?
না।
তুমি তো অদ্ভুত ছেলে। কাগজ-কলম আছে? ঠিকানা লেখো। আমি ঠিকানা লিখলাম। টেলিফোনের কথাতেই বুঝতে পারছি অতি সরল একজন মহিলা। সরল না হলে যাকে চিনতে পারছে না তাকে অনায়াসে বলতেন না- টক দৈ নিয়ে এসো।
টক দৈ-এর সন্ধানে আমি গেলাম 'হাবীব এন্ড সঙ্গ' মিষ্টির দোকানে। দোকানের মালিক হাবীব ভাই। ময়রারা নাদুসনুদুস হয়। এটাই আর্কিমিডিসের সূত্রের মতো ধ্রুব। ইনি সারাক্ষণ বেজার মুখে থাকতে থাকতেওগাপটকা। ",Humayun Ahmed
"তারপরেও মিষ্টির দোকানের নাম 'হাবীব এন্ড সঙ্গ'। এখনো আশায় আছেন কোনো একদিন দু'তিনটি ছেলে হবে। ছেলেদের নিয়ে ব্যবসা করবেন । মিষ্টি তৈরির যে বিদ্যা তিনি হালুইকর রমেশ ঠাকুরের কাছ থেকে শিখেছেন সেই বিদ্যা ছেলেদের দিয়ে যাবেন। পুত্রের আশায় তিনি করেন নি এমন কাজ নেই। স্বামী মেয়ে শিয়ালের মাংস এবং স্ত্রী পুরুষ শেয়ালের মাংস খেলে ছেলেপুলে হয় শুনে গ্রামে গিয়ে এই চিকিৎসাও করিয়েছেন। দু'জনেরই কঠিন ডায়রিয়া হয়েছে, এর বেশি কিছু হয় নি।
হাবীব ভাই গত পাঁচ বছর ধরে আমার প্রতি কঠিন অভিমান লালন করছেন। তার ধারণা আমি একটা ফুঁ দিলেই তার সন্তান হবে। ফুঁ দিচ্ছি না বলে সন্তান হওয়াটা আটকে আছে। কিছুদিন হলো তিনি আমার সঙ্গে কথাবার্তা বন্ধ করে দিয়েছেন। সরাসরি কথা বলেন না, অন্যদের মাধ্যমে কথা বলেন। আমাকে দেখে তিনি খবরের কাগজ নিয়ে ব্যস্ত হয়ে পড়লেন। এক কর্মচারীকে বললেন, মঞ্জু, কাস্টমার আসছে চোখে দেখ না? কাস্টমার কী চায় জিজ্ঞাস কর।",Humayun Ahmed
"মিডিয়াম সাইজ স্যার। বনমোরগ বেশি বড় হয় না। পা লম্বা হয়, মাংস হয় শক্ত, তবে খেতে অমৃত। ভাবিকে ঝোল করতে নিষেধ করবেন। ঝোল ভালো হয় না। কষানো মাংস ভালো। আর মাংসে যেন তরকারি না দেন। আলু ফালু দিলে স্বাদ নষ্ট হবে। মাংসের স্বাদ আলু খেয়ে ফেলবে।
একবার রিং হতেই কবীর সাহেবের স্ত্রী টেলিফোন ধরলেন এবং অস্বাভাবিক মিষ্টি গলায় বললেন, কে? টেলিফোনে আমরা প্রথম শব্দ শুনি 'হ্যালো'। কিংবা 'আসসালামু আলায়কুম'। সেখানে কেউ একজন টেলিফোন তুলেই যদি মিষ্টি স্বরে জানতে চায়, কে?–তখন অন্যরকম ভালো লাগে। আমি বললাম, কেমন আছেন আপু? ভাবিও না, আপাও না, সরাসরি আপু।
আমি ভালো আছি। তুমি কে এখনো তো বললে না। আপু, অনুমান করুন তো। দেখি আপনার অনুমান শক্তি। ভাই, আমার অনুমান শক্তি খুবই খারাপ। আমার অনুমান শক্তি আবার খুবই ভালো। আজ আপনার বাসায় রান্না হয়েছে বিশাল সাইজের বোয়াল।",Humayun Ahmed
"সাতকড়া দেই নি তো! এই ফ্যামেলির কেউ?  বলো তো তুমি কে? তুমি কবীরদের
উঁহু! কবীরদের ফ্যামেলির কেউ হলে আপনাকে ভাবি ডাকতাম। আপু
ডাকলাম কেন?
তাও তো ঠিক। আমি এমন বোকা! এই শোন, কবীর তো বিশাল ঝামেলায় পড়েছে। একটু আগে টেলিফোন করেছে। কাঁদো কাঁদো গলা। তার কাস্টডি থেকে একজন আসামি পালিয়ে গেছে। বলেন কী?
যে সে আসামি না—আয়না মজিদ। আয়না মজিদের নাম তো শুনেছ। তাকে ধরার জন্য এক লাখ টাকার পুরস্কার ঘোষণা দেয়া আছে।
আয়না মজিদকে কি কবীর ভাই ধরেছিলেন?
হুঁ। পুলিশের অনেক সোর্স আছে তো। সোর্সের মাধ্যমে খবর পেয়ে সে হাতেনাতে ধরেছে। আমি কী যে খুশি হয়েছিলাম! এক লাখ টাকা পেলে কত বড় উপকার যে হতো। কবীর আয়না মজিদকে কীভাবে ধরেছে বলব? বাসায় এসে শুনি।",Humayun Ahmed
"টেনশন থাকলেও চলবে না। গুলি কখনো দূর থেকে করবে না। দূর থেকে গুলি করা মানেই টেনশন। গুলি লক্ষ্যভেদ করবে কি করবে না তার টেনশন। এত ঝামেলার দরকার কী? বন্দুকের নল পেটে লাগিয়ে গুলি করো। একটা টিপস দিচ্ছি— বুকে গুলি করবে না। পাঁজরের হাড় যথেষ্ট শক্ত। রিভসে লেগে গুলি ফিরে এসেছে এমন নজির আছে।
আমি এডগার সাহেবের মতো টেনশনমুক্ত হবার চেষ্টা করলাম। প্রথম চেষ্টাতেই সফলতা। সম্পূর্ণ টেনশনমুক্ত অবস্থায় আমি দরজার পেছনে দাঁড়ানো। অপেক্ষার সামান্য টেনশন ছাড়া তখন আর আমার মধ্যে কোনো টেনশন নেই। আয়না মজিদ সাহেবের তথ্যাবলি সঙ্গে নিয়ে নিয়েছি। বের হতে পারলে বিছানায় শুয়ে আরাম করে পড়া যাবে। মহাপুরুষদের শিক্ষামূলক জীবনী পড়ায় আনন্দ নেই। আনন্দ ক্রিমিন্যালদের রঙিন জীবনীতে। মহাপুরুষরা কখনো ভুল করেছেন এমন পাওয়া যায় না। তাদের সমস্ত কাজকর্মই ডিসটিল ওয়াটারের মতো শুদ্ধ এবং স্বাদহীন।",Humayun Ahmed
"হালুম!' এতেও কিন্তু লাফ দিয়ে উঠে ভীত গলায় বলবেন, এটা কী ! কোনটা পাহেবের দিকে এগিয়ে। না-কি হালুম গর্জন? সিদ্ধান্তে পারছি না। পালিয়ে যাবার চেষ্টা, আগেই দরজা খুলে গেল। কবীর সাহেব টেবিলের উপর ডাবল চেয়ার দেখে 'এসব কী? এসব কী?' বলে সেদিকে ছুটে গেলেন। আমি হামাগুড়ি দিয়ে দরজার বাইরে চলে এলাম। করিডোরে কেউ নেই। আমি পাঞ্জাবি ঝাড়তে ঝাড়তে উঠে দাঁড়ালাম এবং অতি অল্প সময়েই পগারপার। (প্রিয় পাঠক! পগারপার জিনিসটা কী? পগা নামক নদীর পার, না-কি পগা নামক বিশিষ্ট কোনো ব্যক্তির পার? তাই বা কেমন করে হয়? ব্যক্তি তো শাড়ি না যে পাড় থাকবে।)
ক্রিমিনালজিতে বলে একজন ক্রিমিন্যাল অবশ্যই তার ক্রাইমের জায়গাটা দেখতে যাবে। শুধু একবার যে যাবে তা না, একাধিকবার যাবে। আমার পক্ষে ক্রাইমের জায়গা দেখতে যাওয়া মানে থানায় যাওয়া। এটা সম্ভব না। তবে ওসি সাহেবকে টেলিফোন করা সম্ভব। তাঁর কাছ থেকে একটা ঠিকানা বের করা প্রয়োজন কবীর সাহেবের বাসার ঠিকানা। কবীর সাহেবের স্ত্রী দশ কেজি ওজনের বোয়াল মাছ রান্না করছেন। বোয়াল মাছের একটা পিস খেতে ইচ্ছা করছে।",Humayun Ahmed
